"placette";"periode";"massif";"xLamb2";"yLamb2";"annee";"alt";"VIpH";"VICN";"Abies_alba";"Carpinus_betulus";"Larix_decidua";"Quercus_robur";"Vaccinium_myrtillus";"mt1";"mt7";"mt13";"bh7"
"00A8";"new";"vosges";940598;2388105;1994;500;4.045999227;21.23537688;1;0;0;0;1;0.05;17.25;8.65;-36.3196
"00B1";"new";"jura";939602;2282673;1993;360;6.98435727;9.850867239;0;1;0;1;0;0.5;18.4;9.45;-34.78297
"00F14";"old";"vosges";974547;2399112;1976;230;6.510050251;8.523935467;0;1;0;0;0;0.15;17.8;9;-57.40944
"00F15";"old";"vosges";974037;2415020;1976;200;5.975711893;10.91825796;0;0;0;0;0;0.7;18.7;9.65;-61.80051
"00F17";"old";"vosges";974801;2400912;1976;190;5.625628141;11.75376884;0;1;0;0;0;0.35;18.05;9.2;-60.48286
"00F19";"old";"vosges";969532;2417295;1976;240;5.510823348;14.66254349;0;1;0;0;0;0.6;18.45;9.5;-52.38329
"00F21";"old";"vosges";973750;2414890;1976;250;5.045226131;13.59045226;0;0;0;0;0;0.7;18.7;9.65;-57.93159
"00F22";"old";"vosges";973314;2413636;1976;201;5.47361809;10.9014517;0;0;0;0;0;0.6;18.45;9.5;-58.66157
"00F24";"old";"vosges";967731;2407259;1976;270;6.034278536;14.34673367;0;0;0;0;0;0.4;17.8;9.05;-57.44568
"00F26";"old";"vosges";972711;2410364;1976;220;5.38176175;12.84688147;0;1;0;0;0;0.6;18.6;9.6;-65.69257
"00F27";"old";"vosges";968992;2413024;1976;380;4.704930905;15.5486809;1;0;0;1;1;0.2;17.55;8.75;-42.86138
"00F28";"old";"vosges";967159;2408114;1976;270;3;20.82914573;1;0;0;0;1;0.2;17.2;8.6;-49.27576
"101";"old";"vosges";947976;2318578;1978;401;4.74120603;23.54215522;1;1;0;0;1;0.2;18.1;9.15;-41.35897
"1010";"old";"vosges";943371;2322874;1978;579;4.901507538;16.57956449;1;0;0;0;1;0.05;17.65;8.8;-32.50906
"1011";"old";"vosges";941969;2322458;1978;500;4.213009492;25.1027359;1;0;0;0;1;0.05;17.7;8.8;-18.42877
"1012";"old";"vosges";942412;2322595;1978;500;4.630653266;30.98492462;1;0;0;0;1;0;17.6;8.75;-31.12527
"1013";"old";"vosges";943631;2326120;1978;579;4.547738693;18.83640424;1;0;0;0;0;-0.35;16.7;8.1;-0.5519714
"1014";"old";"vosges";947424;2317766;1978;401;4.095656856;21.69346734;1;1;0;0;1;0.05;17.8;8.9;-30.22152
"1016";"old";"vosges";939919;2318998;1978;500;3.659631491;20.56984925;1;0;0;0;1;-0.4;16.95;8.2;-6.534561
"102";"old";"vosges";948282;2318485;1978;401;3.708722182;23.97774587;1;0;0;0;1;0.2;18.1;9.15;-41.35897
"1020";"old";"vosges";939320;2318963;1978;500;4.865577889;16.7390524;1;0;0;0;0;-0.35;17.05;8.25;-9.567764
"1021";"old";"vosges";945226;2325768;1978;579;4.509470429;15.69308079;1;0;0;0;0;-0.2;16.9;8.3;-21.64781
"1023";"old";"vosges";951541;2319236;1978;390;3.898241206;21.58542714;1;0;0;0;0;0.3;18.25;9.3;-55.6543
"1025";"old";"vosges";940611;2318704;1978;390;4.617755444;20.12328308;1;0;0;0;0;-0.35;17;8.25;-8.705978
"1026";"old";"vosges";941522;2324994;1978;579;4.430276382;14.15766332;1;0;0;0;0;-0.35;16.75;8.1;-2.485825
"1027";"old";"vosges";939395;2318968;1978;500;3.726130653;21.67382366;1;0;0;0;0;-0.35;17.05;8.25;-9.567764
"1029";"old";"vosges";939555;2320091;1978;500;4.713567839;25.69095477;1;0;0;0;0;-0.35;17;8.25;1.260521
"1030";"old";"vosges";941287;2323867;1978;500;4.1;29.29949749;1;0;0;0;0;-0.15;17.15;8.45;-20.21889
"1031";"old";"vosges";942414;2318697;1978;470;4.330885195;15.85929648;1;0;0;0;0;-0.3;17.05;8.25;-15.05605
"1032";"old";"vosges";942708;2326511;1978;579;4.246231156;16.52718136;1;0;0;0;0;-0.45;16.35;7.9;3.848595
"1033";"old";"vosges";941845;2319444;1978;470;4.334924623;14.47638191;0;0;0;0;0;-0.3;17.05;8.25;-3.862114
"104";"old";"vosges";946964;2319187;1978;401;5.278176597;17.40272793;1;1;0;0;0;0.15;17.9;9;-26.37434
"105";"old";"vosges";939513;2319531;1978;500;6.386405713;19.38860972;1;1;0;0;0;-0.35;17;8.25;-6.534561
"1050";"old";"vosges";946471;2317376;1978;401;5.968341709;9.549748744;0;1;0;0;0;-0.1;17.45;8.6;-23.1897
"1051";"old";"vosges";941509;2325216;1978;579;6.18760469;16.50753769;1;0;0;0;0;-0.35;16.75;8.1;-2.485825
"1052";"old";"vosges";942251;2318911;1978;470;5.990452261;12.18592965;0;0;0;0;0;-0.3;17.05;8.25;-15.05605
"1053";"old";"vosges";938756;2320936;1978;500;5.493579006;11.03350084;0;0;0;0;0;-0.35;16.95;8.2;1.226173
"1054";"old";"vosges";951541;2319236;1978;390;6.678005412;7.810301508;0;0;0;0;0;0.3;18.25;9.3;-55.6543
"1055";"old";"vosges";946978;2318965;1978;401;5.849804578;9.785036293;0;1;0;0;0;0.15;17.9;9;-29.76291
"106";"old";"vosges";952504;2321967;1978;480;4.833333333;16.59757119;1;0;0;0;0;-0.05;17.45;8.65;-48.21127
"109";"old";"vosges";942698;2322835;1978;500;5.894113424;9.901651113;0;1;0;0;0;0.05;17.65;8.8;-31.12527
"1310";"old";"vosges";966015;2389874;1965;900;5.223811365;12.07356784;1;0;0;0;0;-1.55;14.55;6.35;-15.48729
"1314";"old";"vosges";967508;2389745;1965;730;5.364723618;11.73576214;1;0;0;0;0;-1.25;15.1;6.75;-20.10152
"1317";"old";"vosges";966466;2389791;1965;850;5.366026561;10.4332775;1;0;0;0;0;-1.55;14.55;6.35;-15.48729
"1318";"old";"vosges";968310;2391133;1965;840;5.177889447;11.50357048;1;0;0;0;0;-1.3;14.95;6.65;-25.07552
"132";"old";"vosges";968032;2389667;1965;640;5.609045226;9.764338936;1;0;0;0;0;-1.25;15.1;6.75;-24.51385
"1321";"old";"vosges";968011;2392340;1965;695;4.8686488;11.98255986;1;0;0;0;0;-1.3;14.8;6.55;-19.61189
"1324";"old";"vosges";968342;2391804;1965;875;4.993138771;11.54633166;1;0;0;0;0;-1.3;14.8;6.55;-25.07552
"133";"old";"vosges";966445;2390124;1965;960;5.008375209;11.23157454;1;0;0;0;0;-1.55;14.55;6.35;-11.10817
"1331";"old";"vosges";969218;2390857;1965;650;5.003768844;13.5040201;1;0;0;0;0;-1.15;15.2;6.85;-31.16289
"1334";"old";"vosges";967103;2390277;1965;865;3.991026561;14.89524546;1;0;0;0;0;-1.45;14.75;6.5;-17.40236
"1335";"old";"vosges";968152;2390120;1965;690;4.986878839;15.63050547;1;0;0;0;0;-1.25;15.1;6.75;-24.39095
"1336";"old";"vosges";967282;2390957;1965;825;5.253376256;11.76052136;1;0;0;0;0;-1.4;14.7;6.5;-17.40236
"1337";"old";"vosges";966677;2391142;1965;980;4.91048995;12.2669598;0;0;0;0;0;-1.4;14.7;6.5;-11.0218
"1338";"old";"vosges";967061;2390943;1965;880;5.332914573;10.77626226;1;0;0;0;0;-1.4;14.7;6.5;-17.40236
"1339";"old";"vosges";968166;2392239;1965;930;4.687903805;12.01971395;1;0;0;0;0;-1.3;14.8;6.55;-19.61189
"134";"old";"vosges";970154;2390136;1965;590;5.58071608;13.15359406;1;0;0;0;0;-1;15.75;7.25;-39.5212
"1340";"old";"vosges";967321;2391517;1965;930;5.05335501;11.64572864;1;0;0;0;0;-1.4;14.65;6.5;-17.24542
"1342";"old";"vosges";966142;2390216;1965;1010;4.635678392;12.57880311;0;0;0;0;0;-1.55;14.55;6.35;-11.10817
"1343";"old";"vosges";967543;2391531;1965;760;5.082077052;13.1258794;1;0;0;0;0;-1.3;14.8;6.55;-17.24542
"1344";"old";"vosges";967293;2391961;1965;995;4.950466619;14.57361809;1;0;0;0;0;-1.4;14.65;6.5;-17.24542
"1347";"old";"vosges";965927;2390091;1965;960;4.29035804;15.55678392;1;0;0;0;1;-1.55;14.55;6.35;-5.826324
"1348";"old";"vosges";965931;2391206;1965;1040;4.134791605;15.36358262;0;0;0;0;0;-1.45;14.6;6.45;-4.510284
"1349";"old";"vosges";966793;2390480;1965;920;3.941153134;16.55555556;1;0;0;0;1;-1.45;14.75;6.5;-11.10817
"135";"old";"vosges";969978;2390571;1965;645;5.393664752;10.6493579;1;0;0;0;0;-1.05;15.55;7.1;-39.5212
"1350";"old";"vosges";966255;2390781;1965;1025;3.403942791;20.21691792;0;0;0;0;1;-1.45;14.6;6.45;-11.10817
"1352";"old";"vosges";967997;2392562;1965;980;3.70201005;19.719933;0;0;0;0;1;-1.35;14.7;6.55;-19.61189
"138";"old";"vosges";970112;2390802;1965;710;5.226409827;11.13094886;1;0;0;0;0;-1.05;15.55;7.1;-39.5212
"139";"old";"vosges";968560;2390703;1965;725;5.17678392;10.99316583;1;0;0;0;0;-1.15;15.2;6.85;-24.39095
"1537";"old";"vosges";962079;2361210;1924;320;6.354851179;9.328866555;0;1;0;1;0;-0.15;17.2;8.45;-45.11538
"1538";"old";"vosges";964722;2340316;1924;360;6.500436967;8.530569514;0;1;0;0;0;0.6;18.5;9.6;-61.7228
"1544";"old";"vosges";967324;2352512;1924;360;7.351560434;18.19296482;1;0;0;0;0;0.55;18.4;9.5;-63.94434
"1549";"old";"vosges";968056;2351555;1924;350;6.736448198;18.11270639;1;0;0;0;0;0.55;18.45;9.55;-63.54955
"1550";"old";"vosges";966591;2353469;1924;360;5.702400893;20.52903406;1;0;0;0;0;0.55;18.4;9.5;-64.90298
"1551";"old";"vosges";975087;2378081;1924;400;7.215269898;23.26005025;0;0;0;0;0;0.2;19.15;9.7;-76.62883
"1552";"old";"vosges";964660;2341315;1924;450;4.986878839;22.74986041;1;0;0;0;0;0.6;18.45;9.55;-62.67209
